account_id,segment,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr,source_bank,source_date,value_date
FDIC_23622_20260630,Corporate_Large,Large_D-SIB,US,2733724000.0,0.0,2733724000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BRISTOL COUNTY SAVINGS BANK,2026-06-30,2026-06-30
FDIC_23623_20260630,Corporate_Large,Large_D-SIB,US,5136846000.0,0.0,5136846000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WASHINGTON TR CO OF WESTERLY,2026-06-30,2026-06-30
FDIC_23627_20260630,Corporate_Large,Large_D-SIB,US,5468513000.0,0.0,5468513000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,REPUBLIC BANK&TRUST CO,2026-06-30,2026-06-30
FDIC_23647_20260630,Corporate_Large,Large_D-SIB,US,1784106000.0,0.0,1784106000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,TIB NATIONAL ASSN,2026-06-30,2026-06-30
FDIC_23737_20260630,Corporate_Large,Large_D-SIB,US,358782000.0,0.0,358782000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,VAST BANK NATIONAL ASSN,2026-06-30,2026-06-30
FDIC_23749_20260630,Corporate_Large,Large_D-SIB,US,234936000.0,0.0,234936000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MISSION NATIONAL BANK,2026-06-30,2026-06-30
FDIC_23473_20260630,Corporate_Large,Large_D-SIB,US,2139244000.0,0.0,2139244000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST FIDELITY BANK,2026-06-30,2026-06-30
FDIC_23404_20260630,Corporate_Large,Large_D-SIB,US,100055000.0,0.0,100055000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,EVERGREEN NATIONAL BANK,2026-06-30,2026-06-30
FDIC_23772_20260630,Corporate_Large,Large_D-SIB,US,195113000.0,0.0,195113000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMERCE BANK,2026-06-30,2026-06-30
FDIC_23376_20260630,Corporate_Large,Large_D-SIB,US,307810000.0,0.0,307810000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST JACKSON BANK INC,2026-06-30,2026-06-30
FDIC_23210_20260630,Corporate_Large,Large_D-SIB,US,337170000.0,0.0,337170000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANKERS BANK OF THE WEST,2026-06-30,2026-06-30
FDIC_23220_20260630,Corporate_Large,Large_D-SIB,US,5876827000.0,0.0,5876827000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WOODFOREST NATIONAL BANK,2026-06-30,2026-06-30
FDIC_23242_20260630,Corporate_Large,Large_D-SIB,US,85772000.0,0.0,85772000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CALIFORNIA PACIFIC BANK,2026-06-30,2026-06-30
FDIC_23257_20260630,Corporate_Large,Large_D-SIB,US,302103000.0,0.0,302103000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY STATE BANK,2026-06-30,2026-06-30
FDIC_2326_20260630,Corporate_Large,Large_D-SIB,US,453106000.0,0.0,453106000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AVB BANK,2026-06-30,2026-06-30
FDIC_23270_20260630,Corporate_Large,Large_D-SIB,US,29408000.0,0.0,29408000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SIOUXLAND BANK,2026-06-30,2026-06-30
FDIC_23275_20260630,Corporate_Large,Large_D-SIB,US,1515930000.0,0.0,1515930000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PLUMAS BANK,2026-06-30,2026-06-30
FDIC_2327_20260630,Corporate_Large,Large_D-SIB,US,350310000.0,0.0,350310000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,LOCAL BANK,2026-06-30,2026-06-30
FDIC_23286_20260630,Corporate_Large,Large_D-SIB,US,1448851000.0,0.0,1448851000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FALL RIVER FIVE CENTS SB,2026-06-30,2026-06-30
FDIC_23287_20260630,Corporate_Large,Large_D-SIB,US,4372951000.0,0.0,4372951000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CAPE COD FIVE CENTS SB,2026-06-30,2026-06-30
FDIC_2328_20260630,Corporate_Large,Large_D-SIB,US,30026000.0,0.0,30026000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN EXC BK LINDSAY OK,2026-06-30,2026-06-30
FDIC_23293_20260630,Corporate_Large,Large_D-SIB,US,1276023000.0,0.0,1276023000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FLORENCE BANK,2026-06-30,2026-06-30
FDIC_23296_20260630,Corporate_Large,Large_D-SIB,US,6832889000.0,0.0,6832889000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SALEM FIVE CENTS SB,2026-06-30,2026-06-30
FDIC_23298_20260630,Corporate_Large,Large_D-SIB,US,659121000.0,0.0,659121000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WATERTOWN SAVINGS BANK,2026-06-30,2026-06-30
FDIC_232_20260630,Corporate_Large,Large_D-SIB,US,86643000.0,0.0,86643000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SOLON STATE BANK,2026-06-30,2026-06-30
FDIC_2331_20260630,Corporate_Large,Large_D-SIB,US,44071000.0,0.0,44071000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PEOPLES BANK&TRUST CO,2026-06-30,2026-06-30
FDIC_23373_20260630,Corporate_Large,Large_D-SIB,US,85342000.0,0.0,85342000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,UNITED ORIENT BANK,2026-06-30,2026-06-30
FDIC_23764_20260630,Corporate_Large,Large_D-SIB,US,262991000.0,0.0,262991000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FMS BANK,2026-06-30,2026-06-30
FDIC_23798_20260630,Corporate_Large,Large_D-SIB,US,144400000.0,0.0,144400000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MCCURTAIN COUNTY NB,2026-06-30,2026-06-30
FDIC_231_20260630,Corporate_Large,Large_D-SIB,US,287490000.0,0.0,287490000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMERCIAL SAVINGS BANK,2026-06-30,2026-06-30
FDIC_24156_20260630,Corporate_Large,Large_D-SIB,US,6213946000.0,0.0,6213946000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,OCEAN BANK,2026-06-30,2026-06-30
FDIC_24199_20260630,Corporate_Large,Large_D-SIB,US,170437000.0,0.0,170437000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CAPITOL NATIONAL BANK,2026-06-30,2026-06-30
FDIC_24211_20260630,Corporate_Large,Large_D-SIB,US,86680000.0,0.0,86680000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF WHITTIER NA,2026-06-30,2026-06-30
FDIC_24303_20260630,Corporate_Large,Large_D-SIB,US,63364000.0,0.0,63364000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PAVILLION BANK,2026-06-30,2026-06-30
FDIC_24305_20260630,Corporate_Large,Large_D-SIB,US,173634000.0,0.0,173634000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,LLANO NATIONAL BANK,2026-06-30,2026-06-30
FDIC_24332_20260630,Corporate_Large,Large_D-SIB,US,410470000.0,0.0,410470000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST CREDIT BANK,2026-06-30,2026-06-30
FDIC_24347_20260630,Corporate_Large,Large_D-SIB,US,1773065000.0,0.0,1773065000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,LONE STAR NATIONAL BANK,2026-06-30,2026-06-30
FDIC_24353_20260630,Corporate_Large,Large_D-SIB,US,455967000.0,0.0,455967000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST COMMUNITY BANK,2026-06-30,2026-06-30
FDIC_24367_20260630,Corporate_Large,Large_D-SIB,US,42867000.0,0.0,42867000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITY NATIONAL BANK,2026-06-30,2026-06-30
FDIC_24387_20260630,Corporate_Large,Large_D-SIB,US,2713549000.0,0.0,2713549000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,INDUSTRIAL&COMMERCIAL BK CHI,2026-06-30,2026-06-30
FDIC_2443_20260630,Corporate_Large,Large_D-SIB,US,763858000.0,0.0,763858000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CLEAR MOUNTAIN BANK,2026-06-30,2026-06-30
FDIC_24443_20260630,Corporate_Large,Large_D-SIB,US,81127000.0,0.0,81127000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PROGRESSIVE NATIONAL BANK,2026-06-30,2026-06-30
FDIC_2444_20260630,Corporate_Large,Large_D-SIB,US,66041000.0,0.0,66041000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CLAY COUNTY BANK INC,2026-06-30,2026-06-30
FDIC_24472_20260630,Corporate_Large,Large_D-SIB,US,485437000.0,0.0,485437000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN NATION BANK,2026-06-30,2026-06-30
FDIC_2448_20260630,Corporate_Large,Large_D-SIB,US,140834000.0,0.0,140834000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PIONEER COMMUNITY BANK INC,2026-06-30,2026-06-30
FDIC_24498_20260630,Corporate_Large,Large_D-SIB,US,168463000.0,0.0,168463000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST STATE BANK,2026-06-30,2026-06-30
FDIC_24516_20260630,Corporate_Large,Large_D-SIB,US,1641848000.0,0.0,1641848000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,INTERAUDI BANK,2026-06-30,2026-06-30
FDIC_2452_20260630,Corporate_Large,Large_D-SIB,US,155562000.0,0.0,155562000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WEST UNION BANK,2026-06-30,2026-06-30
FDIC_24170_20260630,Corporate_Large,Large_D-SIB,US,6552281000.0,0.0,6552281000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,HANMI BANK,2026-06-30,2026-06-30
FDIC_24085_20260630,Corporate_Large,Large_D-SIB,US,37640000.0,0.0,37640000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITIZENS NATIONAL BANK,2026-06-30,2026-06-30
FDIC_23799_20260630,Corporate_Large,Large_D-SIB,US,1341727000.0,0.0,1341727000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,TEXAS FIRST BANK,2026-06-30,2026-06-30
FDIC_24064_20260630,Corporate_Large,Large_D-SIB,US,20792000.0,0.0,20792000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ATASCOSA BANK,2026-06-30,2026-06-30
FDIC_2379_20260630,Corporate_Large,Large_D-SIB,US,81256000.0,0.0,81256000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF GLEASON,2026-06-30,2026-06-30
FDIC_23805_20260630,Corporate_Large,Large_D-SIB,US,154490000.0,0.0,154490000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,UNITED PACIFIC BANK,2026-06-30,2026-06-30
FDIC_23806_20260630,Corporate_Large,Large_D-SIB,US,895406000.0,0.0,895406000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,TRAILWEST BANK,2026-06-30,2026-06-30
FDIC_2380_20260630,Corporate_Large,Large_D-SIB,US,501481000.0,0.0,501481000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CARROLL BANK&TRUST,2026-06-30,2026-06-30
FDIC_23815_20260630,Corporate_Large,Large_D-SIB,US,208027000.0,0.0,208027000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST STB OF DEKALB COUNTY,2026-06-30,2026-06-30
FDIC_23826_20260630,Corporate_Large,Large_D-SIB,US,5554000.0,0.0,5554000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF JACKSON HOLE TRUST,2026-06-30,2026-06-30
FDIC_23864_20260630,Corporate_Large,Large_D-SIB,US,198127000.0,0.0,198127000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SUMMIT BANK,2026-06-30,2026-06-30
FDIC_23886_20260630,Corporate_Large,Large_D-SIB,US,486466000.0,0.0,486466000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN BANK NATIONAL ASSN,2026-06-30,2026-06-30
FDIC_2391_20260630,Corporate_Large,Large_D-SIB,US,105532000.0,0.0,105532000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SECURITY BANK,2026-06-30,2026-06-30
FDIC_23966_20260630,Corporate_Large,Large_D-SIB,US,409390000.0,0.0,409390000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ONEUNITED BANK,2026-06-30,2026-06-30
FDIC_23986_20260630,Corporate_Large,Large_D-SIB,US,75371000.0,0.0,75371000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MINNESOTA LAKES BANK,2026-06-30,2026-06-30
FDIC_23989_20260630,Corporate_Large,Large_D-SIB,US,56772000.0,0.0,56772000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MINERS EXCHANGE BANK,2026-06-30,2026-06-30
FDIC_23992_20260630,Corporate_Large,Large_D-SIB,US,1756205000.0,0.0,1756205000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COUNTRY BANK FOR SAVINGS,2026-06-30,2026-06-30
FDIC_23998_20260630,Corporate_Large,Large_D-SIB,US,1184296000.0,0.0,1184296000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,STATE BANK OF INDIA CA,2026-06-30,2026-06-30
FDIC_24015_20260630,Corporate_Large,Large_D-SIB,US,228841000.0,0.0,228841000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,HARBOR BANK OF MARYLAND,2026-06-30,2026-06-30
FDIC_24038_20260630,Corporate_Large,Large_D-SIB,US,15433000.0,0.0,15433000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BRAZOS NATIONAL BANK,2026-06-30,2026-06-30
FDIC_24045_20260630,Corporate_Large,Large_D-SIB,US,25126017000.0,0.0,25126017000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANC OF CALIFORNIA,2026-06-30,2026-06-30
FDIC_2320_20260630,Corporate_Large,Large_D-SIB,US,100133000.0,0.0,100133000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CARSON COMMUNITY BANK,2026-06-30,2026-06-30
FDIC_23189_20260630,Corporate_Large,Large_D-SIB,US,195690000.0,0.0,195690000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY BANK&TRUST CO,2026-06-30,2026-06-30
FDIC_22334_20260630,Corporate_Large,Large_D-SIB,US,2227283000.0,0.0,2227283000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ONE COMMUNITY BANK,2026-06-30,2026-06-30
FDIC_2249_20260630,Corporate_Large,Large_D-SIB,US,76323000.0,0.0,76323000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WESTERN BANK,2026-06-30,2026-06-30
FDIC_22526_20260630,Corporate_Large,Large_D-SIB,US,186601000.0,0.0,186601000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SPRING HILL STATE BANK,2026-06-30,2026-06-30
FDIC_22536_20260630,Corporate_Large,Large_D-SIB,US,300670000.0,0.0,300670000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST SECURE BANK&TRUST CO,2026-06-30,2026-06-30
FDIC_22537_20260630,Corporate_Large,Large_D-SIB,US,922973000.0,0.0,922973000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PEOPLES BANK OF ALABAMA,2026-06-30,2026-06-30
FDIC_22549_20260630,Corporate_Large,Large_D-SIB,US,10463000.0,0.0,10463000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST PROGRESSIVE BANK,2026-06-30,2026-06-30
FDIC_22559_20260630,Corporate_Large,Large_D-SIB,US,2777209000.0,0.0,2777209000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BRAVERA BANK,2026-06-30,2026-06-30
FDIC_22567_20260630,Corporate_Large,Large_D-SIB,US,93330000.0,0.0,93330000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY STATE BANK,2026-06-30,2026-06-30
FDIC_22578_20260630,Corporate_Large,Large_D-SIB,US,216062000.0,0.0,216062000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BRIGHTON BANK,2026-06-30,2026-06-30
FDIC_22597_20260630,Corporate_Large,Large_D-SIB,US,2456060000.0,0.0,2456060000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF THE SIERRA,2026-06-30,2026-06-30
FDIC_22598_20260630,Corporate_Large,Large_D-SIB,US,62338000.0,0.0,62338000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FLORA BANK&TRUST,2026-06-30,2026-06-30
FDIC_22600_20260630,Corporate_Large,Large_D-SIB,US,157867000.0,0.0,157867000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,VALLEY BANK OF COMMERCE,2026-06-30,2026-06-30
FDIC_22601_20260630,Corporate_Large,Large_D-SIB,US,170421000.0,0.0,170421000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITIZENS BANK,2026-06-30,2026-06-30
FDIC_22636_20260630,Corporate_Large,Large_D-SIB,US,111236000.0,0.0,111236000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY BANK OF MARSHALL,2026-06-30,2026-06-30
FDIC_22639_20260630,Corporate_Large,Large_D-SIB,US,115576000.0,0.0,115576000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF COMMERCE,2026-06-30,2026-06-30
FDIC_22653_20260630,Corporate_Large,Large_D-SIB,US,40815000.0,0.0,40815000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,GREEN DOT BK DBA BONNEVILLE,2026-06-30,2026-06-30
FDIC_22669_20260630,Corporate_Large,Large_D-SIB,US,67653000.0,0.0,67653000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,NEVADA BANK&TRUST CO,2026-06-30,2026-06-30
FDIC_226_20260630,Corporate_Large,Large_D-SIB,US,159281000.0,0.0,159281000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,GUTHRIE COUNTY STATE BANK,2026-06-30,2026-06-30
FDIC_2270_20260630,Corporate_Large,Large_D-SIB,US,62557386000.0,0.0,62557386000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ZIONS BCORP N A,2026-06-30,2026-06-30
FDIC_22514_20260630,Corporate_Large,Large_D-SIB,US,122290000.0,0.0,122290000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,UTAH INDEPENDENT BANK,2026-06-30,2026-06-30
FDIC_2247_20260630,Corporate_Large,Large_D-SIB,US,121626000.0,0.0,121626000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANK OF THE SOUTHWEST,2026-06-30,2026-06-30
FDIC_22738_20260630,Corporate_Large,Large_D-SIB,US,635795000.0,0.0,635795000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST UTAH BANK,2026-06-30,2026-06-30
FDIC_22460_20260630,Corporate_Large,Large_D-SIB,US,162421000.0,0.0,162421000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MONTEREY COUNTY BANK,2026-06-30,2026-06-30
FDIC_22354_20260630,Corporate_Large,Large_D-SIB,US,1928489000.0,0.0,1928489000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMERCIAL BANK,2026-06-30,2026-06-30
FDIC_22355_20260630,Corporate_Large,Large_D-SIB,US,37185000.0,0.0,37185000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PINNACLE BANK INC,2026-06-30,2026-06-30
FDIC_22358_20260630,Corporate_Large,Large_D-SIB,US,37731000.0,0.0,37731000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITIZENS BANK,2026-06-30,2026-06-30
FDIC_22366_20260630,Corporate_Large,Large_D-SIB,US,457963000.0,0.0,457963000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,GBC INTERNATIONAL BANK,2026-06-30,2026-06-30
FDIC_22373_20260630,Corporate_Large,Large_D-SIB,US,1927169000.0,0.0,1927169000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN NATIONAL BANK&TRUST,2026-06-30,2026-06-30
FDIC_22381_20260630,Corporate_Large,Large_D-SIB,US,85341000.0,0.0,85341000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ANAHUAC NATIONAL BANK,2026-06-30,2026-06-30
FDIC_22394_20260630,Corporate_Large,Large_D-SIB,US,499359000.0,0.0,499359000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,PEOPLES COMMUNITY BANK,2026-06-30,2026-06-30
FDIC_22396_20260630,Corporate_Large,Large_D-SIB,US,1209523000.0,0.0,1209523000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CENTRAL NATIONAL BANK,2026-06-30,2026-06-30
FDIC_22398_20260630,Corporate_Large,Large_D-SIB,US,486637000.0,0.0,486637000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MODERN BANK NATIONAL ASSN,2026-06-30,2026-06-30
FDIC_2240_20260630,Corporate_Large,Large_D-SIB,US,1170212000.0,0.0,1170212000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST AMERICAN BANK,2026-06-30,2026-06-30
FDIC_2241_20260630,Corporate_Large,Large_D-SIB,US,810994000.0,0.0,810994000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CNB BANK,2026-06-30,2026-06-30
FDIC_22430_20260630,Corporate_Large,Large_D-SIB,US,30219000.0,0.0,30219000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,WASHITA STATE BANK,2026-06-30,2026-06-30
FDIC_22434_20260630,Corporate_Large,Large_D-SIB,US,197164000.0,0.0,197164000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANKCHAMPAIGN NATIONAL ASSN,2026-06-30,2026-06-30
